movieId,imdbId,tmdbId,movieId,title
93,114825,12158,93,Vampire in Brooklyn
94,115639,9283,94,Beautiful Girls
95,115759,9208,95,Broken Arrow
96,113403,40154,96,A Midwinter's Tale
97,113247,406,97,La Haine
98,111173,45549,98,Shopping
99,113283,63076,99,Heidi Fleiss: Hollywood Madam
100,115907,11062,100,City Hall
101,115734,13685,101,Bottle Rocket
102,117102,47475,102,Mr. Wrong
103,118040,2045,103,Unforgettable
104,116483,9614,104,Happy Gilmore
105,112579,688,105,The Bridges of Madison County
106,110251,11907,106,Nobody Loves Me
107,117110,10874,107,Muppet Treasure Island
108,112646,89333,108,Catwalk
109,113276,96357,109,Headless Body in Topless Bar
110,112573,197,110,Braveheart
111,75314,103,111,Taxi Driver
112,113326,33542,112,Rumble in the Bronx
113,115645,43566,113,Before and After
114,113774,71754,114,Margaret's Museum
115,112556,43612,115,Happiness Is in the Field
116,112373,51352,116,Anne Frank Remembered
117,115033,16934,117,The Young Poisoner's Handbook
118,116606,10324,118,If Lucy Fell
119,114536,78406,119,Steal Big Steal Little
120,117427,55731,120,Race the Sun
121,106473,32119,121,The Boys of St. Vincent
122,103859,11066,122,Boomerang
123,109424,11104,123,Chungking Express
124,114808,37975,124,The Star Maker
125,116324,2074,125,Flirting with Disaster
126,110647,27793,126,The Neverending Story III: Escape from Fantasia
127,111055,44284,127,The Silences of the Palace
128,110217,290157,128,Jupiter's Wife
129,114131,110972,129,Pie in the Sky
130,112364,32622,130,Angela
131,113107,73067,131,Frankie Starlight
132,113451,11863,132,Jade
133,114015,55475,133,Nueba Yol
134,114500,124636,134,Sonic Outlaws
135,116130,9101,135,Down Periscope
136,113125,123360,136,From the Journals of Jean Seberg
137,113756,5757,137,Man of the Year
138,113952,39428,138,The Neon Bible
139,114618,124639,139,Target
140,118055,9302,140,Up Close & Personal
141,115685,11000,141,The Birdcage
142,94878,,142,#N/D
143,113200,249882,143,Virgin Mary
144,112585,16388,144,The Brothers McMullen
145,112442,9737,145,Bad Boys
146,112342,30765,146,The Amazing Panda Adventure
147,112461,10474,147,The Basketball Diaries
148,112427,22279,148,An Awfully Big Adventure
149,109093,30157,149,Amateur
150,112384,568,150,Apollo 13
151,114287,11780,151,Rob Roy
152,112288,34996,152,The Addiction
153,112462,414,153,Batman Forever
154,61395,649,154,Belle de Jour
155,112495,1873,155,Beyond Rangoon
156,112541,5894,156,Blue in the Face
157,109370,1775,157,Canadian Bacon
158,112642,8839,158,Casper
159,112688,20649,159,Clockers
160,112715,10329,160,Congo
161,112740,8963,161,Crimson Tide
162,109508,26564,162,Crumb
163,112851,8068,163,Desperado
164,112857,8512,164,Devil in a Blue Dress
165,112864,1572,165,Die Hard: With a Vengeance
166,112887,13552,166,The Doom Generation
167,113044,259209,167,Feast of July
168,113071,6520,168,First Knight
169,113114,9073,169,Free Willy 2 - The Adventure Home
170,113243,10428,170,Hackers
171,113464,17447,171,Jeffrey
172,113481,9886,172,Johnny Mnemonic
173,113492,9482,173,Judge Dredd
174,113500,19326,174,Jury Duty
175,113540,9344,175,Kids
176,113677,9071,176,Living in Oblivion
177,113690,8973,177,Lord of Illusions
178,107447,15730,178,Love & Human Remains
179,113729,47608,179,Mad Love
180,113749,2293,180,Mallrats
181,113820,9070,181,Mighty Morphin Power Rangers: The Movie
182,113851,68274,182,Moonlight and Valentino
183,110604,48787,183,Mute Witness
184,110620,34574,184,Nadja
185,113957,1642,185,The Net
186,113986,11472,186,Nine Months
187,114095,36196,187,Party Girl
188,114194,11980,188,The Prophecy
189,114241,58372,189,Reckless
190,114323,32646,190,Safe
191,114345,10533,191,The Scarlet Letter
192,114435,56088,192,The Show
193,114436,10802,193,Showgirls
194,114478,10149,194,Smoke
195,114496,18402,195,Something to Talk About
196,114508,9348,196,Species
197,114534,139408,197,The Stars Fell on Henrietta
198,114558,281,198,Strange Days
199,58450,5967,199,The Umbrellas of Cherbourg
200,114666,79593,200,The Tie That Binds
201,114663,47939,201,Three Wishes
202,114702,36834,202,Total Eclipse
203,114682,9090,203,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,114781,3512,204,Under Siege 2: Dark Territory
205,114798,52856,205,Unstrung Heroes
206,114805,77350,206,Unzipped
207,114887,9560,207,A Walk in the Clouds
208,114898,9804,208,Waterworld
209,114928,31611,209,White Man's Burden
210,114938,65796,210,Wild Bill
211,109340,49805,211,The Browning Version
212,112602,26258,212,Bushwhacked
213,111579,50797,213,Burnt by the Sun
214,110882,19155,214,Before the Rain
215,112471,76,215,Before Sunrise
216,112508,11017,216,Billy Madison
217,112438,37141,217,The Babysitter
218,112571,9382,218,Boys on the Side
219,112757,6715,219,The Cure
220,112643,18256,220,Castle Freak
222,112679,22625,222,Circle of Friends
223,109445,2292,223,Clerks
224,112883,1909,224,Don Juan DeMarco
225,109635,8984,225,Disclosure
226,112899,61813,226,Dream Man
227,109676,4954,227,Drop Zone
228,112854,62488,228,Destiny Turns on the Radio
229,109579,10531,229,Death and the Maiden
230,109642,11929,230,Dolores Claiborne
231,109686,8467,231,Dumb and Dumber
232,111797,10451,232,Eat Drink Man Woman
233,109759,20156,233,Exotica
234,109758,18395,234,Exit to Eden
235,109707,522,235,Ed Wood
236,113117,397,236,French Kiss
237,113097,10525,237,Forget Paris
238,113028,27985,238,Far from Home: The Adventures of Yellow Dog
239,113198,15789,239,A Goofy Movie
240,113303,27303,240,Hideaway
241,113089,21183,241,Fluke
242,109771,10954,242,Farinelli
243,113199,47867,243,Gordy
244,113234,43475,244,Gumby: The Movie
245,109906,72031,245,The Glass Shield
246,110057,14275,246,Hoop Dreams
247,110005,1024,247,Heavenly Creatures
248,110066,17207,248,Houseguest
249,110116,13701,249,Immortal Beloved
250,110006,14819,250,Heavyweights
251,113360,32631,251,The Hunted
252,110099,11777,252,I.Q.
253,110148,628,253,Interview with the Vampire
254,113463,87729,254,Jefferson in Paris
255,110189,18713,255,The Jerky Boys
256,110216,6280,256,Junior
257,113501,9061,257,Just Cause
258,113538,37108,258,A Kid in King Arthur's Court
259,113552,6071,259,Kiss of Death
260,76759,11,260,Star Wars
261,110367,9587,261,Little Women
262,113670,19101,262,A Little Princess
263,110296,49980,263,Ladybird Ladybird
264,109731,17961,264,L'Enfer
265,103994,18183,265,Like Water for Chocolate
266,110322,4476,266,Legends of the Fall
267,110443,11008,267,Major Payne
268,110365,47504,268,Little Odessa
269,107566,32325,269,Mi Vida Loca
270,110391,43742,270,Love Affair
271,113691,28313,271,Losing Isaiah
272,110428,11318,272,The Madness of King George
273,109836,3036,273,Mary Shelley's Frankenstein
274,113755,40490,274,Man of the House
275,110538,24070,275,Mixed Nuts
276,110516,8986,276,Milk Money
277,110527,10510,277,Miracle on 34th Street
278,113808,17402,278,Miami Rhapsody
279,113896,38722,279,My Family
280,113870,8438,280,Murder in the First
281,110684,11593,281,Nobody's Fool
282,110638,1945,282,Nell
283,113967,39310,283,New Jersey Drive
284,117169,109560,284,New York Cop
285,106402,56428,285,Beyond Bedlam
286,113948,63105,286,Nemesis 2 - Nebula
287,110671,131957,287,Nina Takes a Lover
288,110632,241,288,Natural Born Killers
289,110737,9058,289,Only You
290,110729,527,290,Once Were Warriors
291,114151,18220,291,Poison Ivy II: Lily
292,114069,6950,292,Outbreak
293,110413,101,293,Leon: The Professional
294,114113,63020,294,The Perez Family
295,114210,2307,295,A Pyromaniac's Love Story
296,110912,680,296,Pulp Fiction
297,114084,41478,297,Panther
298,105652,25296,298,Pushing Hands
299,110889,40156,299,Priest
300,110932,11450,300,Quiz Show
301,114129,30304,301,Picture Bride
302,110963,10452,302,Queen Margot
303,114214,12106,303,The Quick and the Dead
304,114296,161495,304,Roommates
305,110907,3586,305,Prêt-à-Porter
306,111495,110,306,Three Colors: Red
307,108394,108,307,Three Colors: Blue
308,111507,109,308,Three Colors: White
309,110769,159185,309,"Red Firecracker, Green Firecracker"
310,114268,36357,310,Rent-a-Kid
311,110965,92769,311,Relative Fear
312,114571,28033,312,Stuart Saves His Family
313,111333,22586,313,The Swan Princess
314,111112,14334,314,The Secret of Roan Inish
315,111255,2636,315,The Specialist
316,111282,2164,316,Stargate
317,111070,11395,317,The Santa Clause
318,111161,278,318,The Shawshank Redemption
319,111149,9905,319,Shallow Grave
320,108260,87078,320,Suture
321,106966,12527,321,Strawberry and Chocolate
322,114594,20306,322,Swimming with Sharks
324,111309,36614,324,The Sum of Us
325,113936,27993,325,Senior Trip
326,110081,31439,326,To Live
327,114614,9067,327,Tank Girl
328,114608,9059,328,Tales from the Crypt: Demon Knight
329,111280,193,329,Star Trek: Generations
330,114609,25066,330,Tales from the Hood
331,111454,46797,331,Tom & Viv
332,114852,12122,332,Village of the Damned
333,114694,11381,333,Tommy Boy
334,111590,32636,334,Vanya on 42nd Street
335,114788,36141,335,The Underneath
336,114888,95963,336,The Walking Dead
337,108550,1587,337,What's Eating Gilbert Grape
338,114857,9271,338,Virtuosity
339,114924,2064,339,While You Were Sleeping
340,111667,19855,340,The War
341,109655,60855,341,Double Happiness
342,110598,236,342,Muriel's Wedding
343,112435,48287,343,The Baby-Sitters Club
344,109040,3049,344,Ace Ventura: Pet Detective
345,109045,2759,345,"The Adventures of Priscilla, Queen of the Desert"
346,106339,12635,346,Backbeat
347,104779,10497,347,Bitter Moon
348,109348,11382,348,Bullets Over Broadway
349,109444,9331,349,Clear and Present Danger
350,109446,10731,350,The Client
351,109484,10464,351,"Corrina, Corrina"
352,109504,34152,352,Crooklyn
353,109506,9495,353,The Crow
354,109450,29973,354,Cobb
355,109813,888,355,The Flintstones
356,109830,13,356,Forrest Gump
357,109831,712,357,Four Weddings and a Funeral
358,113305,16295,358,Higher Learning
359,110091,48992,359,I Like It Like That
360,110093,10879,360,I Love Trouble
361,110167,10660,361,It Could Happen to You
362,110213,10714,362,The Jungle Book
363,107472,41647,363,"The Wonderful, Horrible Life of Leni Riefenstahl"
364,110357,8587,364,The Lion King
365,107426,1689,365,Little Buddha
366,111686,11596,366,New Nightmare
367,110475,854,367,The Mask
368,110478,9359,368,Maverick
369,110588,23333,369,Mrs. Parker and the Vicious Circle
370,110622,36593,370,The Naked Gun 33⅓: The Final Insult
371,110771,12280,371,The Paper
372,110950,2788,372,Reality Bites
373,105226,10427,373,Red Rock West
374,110989,11011,374,Ri¢hie Ri¢h
375,111054,49803,375,Safe Passage
376,110997,8987,376,The River Wild
377,111257,1637,377,Speed
378,111256,15128,378,Speechless
379,111438,8831,379,Timecop
380,111503,36955,380,True Lies
381,111693,10449,381,When a Man Loves a Woman
382,111742,10395,382,Wolf
383,111756,12160,383,Wyatt Earp
384,112443,40480,384,Bad Company
385,110455,52038,385,A Man of No Importance
386,111048,29444,386,S.F.W.
387,110399,26352,387,A Low Down Dirty Shame
388,112570,39953,388,"Boys Life: Three Stories of Love, Lust, and Liberation"
389,109454,41580,389,Colonel Chabert
390,59170,315,390,"Faster, Pussycat! Kill! Kill!"
391,110186,22067,391,Jason's Lyric
392,108069,18242,392,The Secret Adventures of Tom Thumb
393,111301,11667,393,Street Fighter
394,112702,32502,394,Coldblooded
395,112849,267188,395,Desert Winds
396,113014,28732,396,Fall Time
397,113043,75555,397,The Fear
398,113104,42981,398,Frank and Ollie
399,113173,278939,399,Girl in the Cadillac
400,113319,291731,400,Homage
401,113827,226229,401,Mirage
402,114047,203119,402,Open Season
403,112889,172923,403,Dos Crímenes
404,109339,316098,404,Brother Minister: The Assassination of Malcolm X
405,110027,8011,405,Highlander: The Final Dimension
406,109785,171857,406,Federal Hill
407,113409,2654,407,In the Mouth of Madness
408,109021,18069,408,8 Seconds
409,109035,19092,409,Above the Rim
410,106220,2758,410,Addams Family Values
411,111804,38129,411,Martin Lawrence: You So Crazy
412,106226,10436,412,The Age of Innocence
413,109068,13595,413,Airheads
414,109067,46094,414,The Air Up There
415,106292,9409,415,Another Stakeout
416,109198,11853,416,Bad Girls
417,109219,16771,417,Barcelona
418,106379,46924,418,Being Human
419,106400,11041,419,The Beverly Hillbillies
420,109254,306,420,Beverly Hills Cop III
421,109279,14522,421,Black Beauty
422,109297,26203,422,Blink
423,109303,178,423,Blown Away
424,109305,19819,424,Blue Chips
425,109306,57834,425,Blue Sky
426,106452,4722,426,Body Snatchers
427,106471,18215,427,Boxing Helena
428,106489,1607,428,A Bronx Tale
429,109361,26391,429,Cabin Boy
430,106505,117553,430,Calendar Girl
431,106519,6075,431,Carlito's Way
432,109439,11310,432,City Slickers II: The Legend of Curly's Gold
433,109443,18658,433,Clean Slate
434,106582,9350,434,Cliffhanger
435,106598,9612,435,Coneheads
436,109456,2124,436,Color of Night
437,109480,26261,437,Cops & Robbersons
438,109493,19176,438,The Cowboy Way
439,106660,49299,439,Dangerous Game
440,106673,11566,440,Dave
441,106677,9571,441,Dazed and Confused
442,106697,9739,442,Demolition Man
443,109729,24257,443,The Endless Summer 2
444,106834,34444,444,Even Cowgirls Get the Blues
445,106873,26141,445,Fatal Instinct
446,106332,10997,446,Farewell My Concubine
447,109783,50463,447,The Favor
448,106881,10443,448,Fearless
449,106880,20239,449,Fear of a Black Hat
450,111732,16297,450,With Honors
451,106926,18551,451,Flesh and Bone
452,111712,25440,452,Widows' Peak
453,106941,9024,453,For Love or Money
454,106918,37233,454,The Firm
455,106965,1634,455,Free Willy
456,109842,13815,456,Fresh
457,106977,5503,457,The Fugitive
458,107004,35588,458,Geronimo: An American Legend
459,109890,2087,459,The Getaway
460,109891,41579,460,Getting Even with Dad
461,109913,18620,461,Go Fish
462,109920,41006,462,A Good Man in Africa
463,107057,4916,463,Guilty as Sin
464,107076,2019,464,Hard Target
465,107096,31642,465,Heaven & Earth
466,107144,9255,466,Hot Shots! Part Deux
467,113674,26271,467,Live Nude Girls
468,112966,10612,468,The Englishman Who Went Up a Hill But Came Down a Mountain
469,107151,2259,469,The House of the Spirits
470,110064,16097,470,House Party 3
471,110074,11934,471,The Hudsucker Proxy
472,110097,106143,472,I'll Do Anything
473,110123,12475,473,In the Army Now
474,107206,9386,474,In the Line of Fire
475,107207,7984,475,In the Name of the Father
476,110137,59930,476,The Inkwell
477,108551,15765,477,What's Love Got to Do with It
478,110197,31643,478,Jimmy Hollywood
479,107286,6,479,Judgment Night
480,107290,329,480,Jurassic Park
481,107302,10909,481,Kalifornia
482,110265,507,482,Killing Zoe
483,107322,34024,483,King of the Hill
484,110305,29918,484,Lassie
485,107362,9593,485,Last Action Hero
486,107413,42580,486,Life With Mikey
487,110353,22317,487,Lightning Jack
488,107468,1413,488,M. Butterfly
489,107478,12121,489,Made in America
490,107497,2246,490,Malice
491,107501,10502,491,The Man without a Face
492,107507,10440,492,Manhattan Murder Mystery
493,107554,9516,493,Menace II Society
494,116253,2320,494,Executive Decision
495,74102,5879,495,In the Realm of the Senses
496,111689,83718,496,What Happened Was...
497,107616,11971,497,Much Ado About Nothing
498,107611,2625,498,Mr. Jones
499,107613,31911,499,Mr. Wonderful
500,107614,788,500,Mrs. Doubtfire
501,107653,21450,501,Naked
502,110657,11231,502,The Next Karate Kid
503,110649,41588,503,The New Age
504,110678,10447,504,No Escape
505,110687,31586,505,North
506,107756,9300,506,Orlando
507,107808,9559,507,A Perfect World
508,107818,9800,508,Philadelphia
509,107822,713,509,The Piano
510,107840,8291,510,Poetic Justice
511,107889,18133,511,The Program
512,111003,25557,512,The Puppet Masters
513,110939,22588,513,Radioland Murders
514,110955,10872,514,The Ref
515,107943,1245,515,The Remains of the Day
516,110971,11858,516,Renaissance Man
517,107969,7007,517,Rising Sun
518,111001,10467,518,The Road to Wellville
519,107978,5550,519,RoboCop 3
520,107977,8005,520,Robin Hood: Men in Tights
521,107983,2088,521,Romeo Is Bleeding
522,105275,10412,522,Romper Stomper
523,108000,47889,523,Ruby in Paradise
524,108002,14534,524,Rudy
525,108026,56583,525,The Saint of Fort Washington
526,105032,41878,526,Savage Nights
527,108052,424,527,Schindler's List
528,111094,35233,528,The Scout
529,108065,14291,529,Searching for Bobby Fischer
530,111102,103413,530,Second Best
531,108071,11236,531,The Secret Garden
532,111127,11592,532,Serial Mom
533,111143,8850,533,The Shadow
534,108101,10445,534,Shadowlands
535,108122,695,535,Short Cuts
536,111194,43535,536,A Simple Twist of Fate
537,111201,12519,537,Sirens
538,108149,23210,538,Six Degrees of Separation
539,108160,858,539,Sleepless in Seattle
540,108162,867,540,Sliver
541,83658,78,541,Blade Runner
542,108186,13203,542,Son in Law
543,108174,10442,543,So I Married an Axe Murderer
544,108238,11074,544,Striking Distance
545,89256,33367,545,Harem
546,108255,9607,546,Super Mario Bros.
547,111323,17585,547,Surviving the Game
548,111400,9057,548,Terminal Velocity
549,108328,20967,549,Thirty Two Short Films About Glenn Gould
550,111418,10635,550,Threesome
551,107688,9479,551,The Nightmare Before Christmas
552,108333,10057,552,The Three Musketeers
553,108358,11969,553,Tombstone
554,111488,41590,554,Trial by Jury
555,108399,319,555,True Romance
556,108515,26408,556,The War Room
558,110763,15139,558,The Pagemaster
559,107779,161158,559,"Paris, France"
560,109226,218473,560,"The Beans of Egypt, Maine"
561,110259,85247,561,Killer
562,114906,11446,562,Welcome to the Dollhouse
563,107002,51980,563,Germinal
564,109403,24405,564,Chasers
565,104029,11655,565,Cronos
566,110623,11800,566,Naked in New York
567,107315,8223,567,Kika
568,106408,14587,568,Bhaji on the Beach
569,110363,31504,569,Little Big League
570,107349,41653,570,The Slingshot
571,111709,53185,571,Wide Eyed and Legless
572,109828,95743,572,Foreign Student
573,107225,23637,573,"Ciao, Professore!"
574,111252,17600,574,Spanking the Monkey
575,110366,10897,575,The Little Rascals
576,106878,349394,576,À la mode
577,109120,21352,577,Andre
579,108059,68806,579,The Escort
580,110892,37345,580,Princess Caraboo
581,112651,32562,581,The Celluloid Closet
582,107642,47507,582,Café au Lait
583,109382,25403,583,Dear Diary
584,106678,124304,584,I Don't Want to Talk About It
585,112572,9066,585,The Brady Bunch Movie
586,99785,771,586,Home Alone
587,99653,251,587,Ghost
588,103639,812,588,Aladdin
589,103064,280,589,Terminator 2: Judgment Day
590,99348,581,590,Dances with Wolves
591,114706,80350,591,Tough and Deadly
592,96895,268,592,Batman
593,102926,274,593,The Silence of the Lambs
594,29583,408,594,Snow White and the Seven Dwarfs
595,101414,10020,595,Beauty and the Beast
596,32910,10895,596,Pinocchio
597,100405,114,597,Pretty Woman
598,110719,41043,598,Window to Paris
599,65214,576,599,The Wild Bunch
600,110395,15477,600,Love and a .45
601,111752,59146,601,The Wooden Man's Bride
602,109934,124472,602,A Great Day in Harlem
603,112606,30528,603,Bye Bye Love
604,115978,,604,#N/D
605,117247,7300,605,One Fine Day
606,112625,10824,606,Candyman: Farewell to the Flesh
607,106537,261246,607,Century
608,116282,275,608,Fargo
609,116552,25059,609,Homeward Bound II: Lost in San Francisco
610,82509,11827,610,Heavy Metal
611,116514,8766,611,Hellraiser: Bloodline
612,117283,23570,612,The Pallbearer
613,116684,47333,613,Jane Eyre
614,110374,54850,614,Loaded
615,70506,51242,615,Bread and Chocolate
616,65421,10112,616,The Aristocats
617,113083,4307,617,The Flower of My Secret
618,118001,46029,618,Two Much
619,116165,32308,619,Ed
620,102855,88893,620,Scream of Stone
621,107471,52873,621,My Favorite Season
623,113839,123505,623,A Modern Affair
624,112712,340210,624,Condition Red
625,90665,44281,625,Halfaouine: Boy of the Terraces
626,117891,28121,626,A Thin Line Between Love and Hate
627,113613,12520,627,The Last Supper
628,117381,1592,628,Primal Fear
629,114305,166901,629,Rude
630,115837,36447,630,Carried Away
631,115509,19042,631,All Dogs Go to Heaven 2
632,114671,38884,632,Land and Freedom
633,112844,47449,633,Denise Calls Up
634,114658,36259,634,Theodore Rex
635,116275,41852,635,A Family Thing
636,113122,40926,636,Frisk
637,117608,9099,637,Sgt. Bilko
638,113448,2021,638,Jack & Sarah
639,116414,61752,639,Girl 6
640,116095,10988,640,Diabolique
641,111543,11479,641,"Little Indian, Big City"
642,117517,398959,642,Roula
643,117312,287305,643,Peanuts – Die Bank zahlt alles
644,116485,339428,644,Happy Weekend
645,113947,12652,645,Nelly and Monsieur Arnaud
647,115956,10684,647,Courage Under Fire
648,117060,954,648,Mission: Impossible
649,109028,68445,649,Cold Fever
650,117071,18989,650,Moll Flanders
651,117788,10801,651,The Superwife
652,112257,54285,652,"301, 302"
653,116136,8840,653,DragonHeart
654,118026,278978,654,Und keiner weint mir nach
655,117117,124625,655,My Mother's Courage
656,116168,11107,656,Eddie
657,111787,16417,657,Yankee Zulu
658,112509,70934,658,Billy's Holiday
659,54189,10363,659,Purple Noon
660,115591,161070,660,August
661,116683,10539,661,James and the Giant Peach
662,116287,10543,662,Fear
663,116768,18414,663,Kids in the Hall: Brain Candy
664,116269,47502,664,Faithful
665,114787,11902,665,Underground
666,113720,27098,666,All Things Fair
667,112536,25087,667,Bloodsport II
668,48473,5801,668,Pather Panchali
670,52572,896,670,The World of Apu
671,117128,3065,671,Mystery Science Theater 3000: The Movie
672,114616,318177,672,Tarantella
673,117705,2300,673,Space Jam
674,62711,8069,674,Barbarella
675,110061,288173,675,Hostile Intentions
676,140614,187851,676,They Bite
678,108181,27768,678,Some Folks Call It a Sling Blade
679,114307,221917,679,The Run of the Country
680,58898,8072,680,Alphaville
681,82206,35797,681,Coup de Torchon
682,111430,88030,682,Tigrero: A Film That Was Never Made
683,107727,185191,683,The Eye of Vichy
684,81759,83857,684,Windows
685,113443,33245,685,It's My Party
687,109491,124460,687,Country Life
688,114048,27281,688,Operation Dumbo Drop
690,111613,105045,690,The Promise
691,117104,40001,691,Mrs. Winterbourne
692,117688,29621,692,Solo
693,109751,117730,693,Under The Domim Tree
694,117774,20762,694,The Substitute
695,114736,37144,695,True Crime
696,112604,48260,696,Butterfly Kiss
697,116289,12656,697,Feeling Minnesota
698,109593,38867,698,Delta of Venus
699,103095,277270,699,To Cross the Rubicon
700,112368,25969,700,Angus
701,104046,44103,701,Priest Daens
702,62952,753,702,Faces
703,115742,43634,703,Boys
704,117420,9103,704,The Quest
705,115951,90214,705,Cosi
706,117784,29649,706,Sunset Park
707,117107,10990,707,Mulholland Falls
708,117979,8866,708,The Truth About Cats & Dogs
709,95776,12233,709,Oliver & Company
710,115851,23449,710,Celtic Pride
711,116322,36355,711,Flipper
712,109374,37667,712,Captives
713,110712,90148,713,Of Love and Shadows
714,112817,922,714,Dead Man
715,113362,11876,715,The Horseman on the Roof
716,73778,52633,716,Switchblade Sisters
717,112546,62364,717,Mouth to Mouth
718,108500,11687,718,The Visitors
719,117108,9304,719,Multiplicity
720,118114,,720,#N/D
721,114103,,721,#N/D
722,113270,73183,722,"The Haunted World of Edward D. Wood, Jr."
723,92123,131232,723,#N/D
724,115963,9100,724,The Craft
725,116448,20759,725,The Great White Hype
726,116827,46063,726,Last Dance
727,114894,365371,727,War Stories Our Mother Never Told Us
728,112701,32513,728,Cold Comfort Farm
729,113429,40651,729,"Institute Benjamenta, or This Dream People Call Human Life"
730,125877,,730,#N/D
731,116508,36915,731,Heaven's Prisoners
732,117260,40507,732,Original Gangstas
733,117500,9802,733,The Rock
734,116405,25697,734,Getting Away with Murder
735,109592,21588,735,Cemetery Man
736,117998,664,736,Twister
737,115624,11867,737,Barb Wire
738,113145,47119,738,Le Garçu
739,116559,314352,739,Honeymoon
741,113568,9323,741,Ghost in the Shell
742,117894,10280,742,Thinner
743,117723,10535,743,Spy Hard
744,112586,124613,744,Brothers in Trouble
745,112691,532,745,A Close Shave
746,40366,26744,746,Force of Evil
747,117768,16299,747,The Stupids
748,115571,10547,748,The Arrival
749,31612,245268,749,The Man from Down Under
750,57012,935,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
751,103926,55613,751,Careful
752,105737,215107,752,Vermont Is for Lovers
753,113849,41007,753,A Month by the Lake
754,113188,35645,754,Gold Diggers: The Secret of Bear Mountain
755,42644,110465,755,Kim
756,109381,255546,756,Carmen Miranda: Bananas Is My Business
757,109688,40751,757,Ashes of Time
758,104606,275096,758,The Jar
759,110480,85778,759,Maya Lin: A Strong Clear Vision
760,108211,11101,760,Stalingrad
761,117331,9826,761,The Phantom
762,117765,9879,762,Striptease
763,116833,63564,763,The Last of the High Kings
764,113280,22621,764,Heavy
765,116669,7095,765,Jack
766,116594,26890,766,I Shot Andy Warhol
767,113211,46732,767,The Grass Harp
768,114494,124633,768,Someone Else's America
769,116992,,769,#N/D
770,38426,,770,#N/D
771,94265,202425,771,Life is Rosy
772,105201,196940,772,Quartier Mozart
773,70820,77771,773,Touki Bouki
